Timestamp,True kW
2025-01-01 00:00:00,482.709
2025-01-01 00:15:00,562.018
2025-01-01 00:30:00,556.482
2025-01-01 00:45:00,483.717
2025-01-01 01:00:00,503.394
2025-01-01 01:15:00,519.723
2025-01-01 01:30:00,511.308
2025-01-01 01:45:00,533.726
2025-01-01 02:00:00,497.03
2025-01-01 02:15:00,529.35
2025-01-01 02:30:00,521.25
2025-01-01 02:45:00,487.022
2025-01-01 03:00:00,508.983
2025-01-01 03:15:00,530.58
2025-01-01 03:30:00,530.509
2025-01-01 03:45:00,520.5
2025-01-01 04:00:00,531.511
2025-01-01 04:15:00,541.3199999999999
2025-01-01 04:30:00,548.379
2025-01-01 04:45:00,567.9879999999999
2025-01-01 05:00:00,570.634
2025-01-01 05:15:00,500.181
2025-01-01 05:30:00,504.385
2025-01-01 05:45:00,518.925
2025-01-01 06:00:00,727.727
2025-01-01 06:15:00,734.137
2025-01-01 06:30:00,730.782
2025-01-01 06:45:00,762.827
2025-01-01 07:00:00,738.3820000000001
2025-01-01 07:15:00,724.319
2025-01-01 07:30:00,705.601
2025-01-01 07:45:00,759.618
2025-01-01 08:00:00,713.927
2025-01-01 08:15:00,720.682
2025-01-01 08:30:00,736.187
2025-01-01 08:45:00,741.294
2025-01-01 09:00:00,728.298
2025-01-01 09:15:00,713.856
2025-01-01 09:30:00,739.15
2025-01-01 09:45:00,764.987
2025-01-01 10:00:00,728.918
2025-01-01 10:15:00,766.729
2025-01-01 10:30:00,722.289
2025-01-01 10:45:00,714.044
2025-01-01 11:00:00,744.368
2025-01-01 11:15:00,716.588
2025-01-01 11:30:00,767.099
2025-01-01 11:45:00,728.668
2025-01-01 12:00:00,957.249
2025-01-01 12:15:00,946.183
2025-01-01 12:30:00,973.867
2025-01-01 12:45:00,992.308
2025-01-01 13:00:00,940.904
2025-01-01 13:15:00,939.7330000000001
2025-01-01 13:30:00,962.38
2025-01-01 13:45:00,959.322
2025-01-01 14:00:00,953.347
2025-01-01 14:15:00,943.847
2025-01-01 14:30:00,949.064
2025-01-01 14:45:00,912.529
2025-01-01 15:00:00,920.893
2025-01-01 15:15:00,924.565
2025-01-01 15:30:00,942.552
2025-01-01 15:45:00,912.921
2025-01-01 16:00:00,950.385
2025-01-01 16:15:00,903.618
2025-01-01 16:30:00,969.7040000000001
2025-01-01 16:45:00,932.364
2025-01-01 17:00:00,949.439
2025-01-01 17:15:00,937.263
2025-01-01 17:30:00,968.175
2025-01-01 17:45:00,949.4490000000001
2025-01-01 18:00:00,1220.772
2025-01-01 18:15:00,1207.1970000000001
2025-01-01 18:30:00,1187.13
2025-01-01 18:45:00,1219.047
2025-01-01 19:00:00,1213.729
2025-01-01 19:15:00,1213.5829999999999
2025-01-01 19:30:00,1254.048
2025-01-01 19:45:00,1255.352
2025-01-01 20:00:00,1228.223
2025-01-01 20:15:00,1236.276
2025-01-01 20:30:00,1187.983
2025-01-01 20:45:00,1209.3329999999999
2025-01-01 21:00:00,1284.91
2025-01-01 21:15:00,1245.007
2025-01-01 21:30:00,1247.559
2025-01-01 21:45:00,1238.433
2025-01-01 22:00:00,1240.169
2025-01-01 22:15:00,1236.681
2025-01-01 22:30:00,1215.545
2025-01-01 22:45:00,1245.681
2025-01-01 23:00:00,605.241
2025-01-01 23:15:00,626.677
2025-01-01 23:30:00,648.502
2025-01-01 23:45:00,608.369
2025-01-02 00:00:00,512.184
2025-01-02 00:15:00,516.102
2025-01-02 00:30:00,516.541
2025-01-02 00:45:00,518.028
2025-01-02 01:00:00,531.846
2025-01-02 01:15:00,522.368
2025-01-02 01:30:00,536.692
2025-01-02 01:45:00,532.832
2025-01-02 02:00:00,545.835
2025-01-02 02:15:00,547.929
2025-01-02 02:30:00,569.636
2025-01-02 02:45:00,486.38100000000003
2025-01-02 03:00:00,470.448
2025-01-02 03:15:00,494.675
2025-01-02 03:30:00,502.3
2025-01-02 03:45:00,509.55899999999997
2025-01-02 04:00:00,511.839
2025-01-02 04:15:00,533.243
2025-01-02 04:30:00,519.317
2025-01-02 04:45:00,514.941
2025-01-02 05:00:00,524.948
2025-01-02 05:15:00,530.893
2025-01-02 05:30:00,531.503
2025-01-02 05:45:00,521.071
2025-01-02 06:00:00,763.771
2025-01-02 06:15:00,716.803
2025-01-02 06:30:00,779.207
2025-01-02 06:45:00,782.0219999999999
2025-01-02 07:00:00,738.517
2025-01-02 07:15:00,689.7719999999999
2025-01-02 07:30:00,734.114
2025-01-02 07:45:00,724.59
2025-01-02 08:00:00,731.986
2025-01-02 08:15:00,697.259
2025-01-02 08:30:00,733.108
2025-01-02 08:45:00,741.728
2025-01-02 09:00:00,739.567
2025-01-02 09:15:00,783.998
2025-01-02 09:30:00,774.991
2025-01-02 09:45:00,674.391
2025-01-02 10:00:00,659.841
2025-01-02 10:15:00,712.4010000000001
2025-01-02 10:30:00,749.946
2025-01-02 10:45:00,740.758
2025-01-02 11:00:00,751.366
2025-01-02 11:15:00,730.827
2025-01-02 11:30:00,714.965
2025-01-02 11:45:00,735.534
2025-01-02 12:00:00,898.758
2025-01-02 12:15:00,947.52
2025-01-02 12:30:00,920.941
2025-01-02 12:45:00,918.908
2025-01-02 13:00:00,886.872
2025-01-02 13:15:00,942.249
2025-01-02 13:30:00,884.686
2025-01-02 13:45:00,899.046
2025-01-02 14:00:00,859.111
2025-01-02 14:15:00,926.739
2025-01-02 14:30:00,935.2429999999999
2025-01-02 14:45:00,892.427
2025-01-02 15:00:00,937.133
2025-01-02 15:15:00,948.538
2025-01-02 15:30:00,947.607
2025-01-02 15:45:00,990.826
2025-01-02 16:00:00,988.479
2025-01-02 16:15:00,974.396
2025-01-02 16:30:00,938.567
2025-01-02 16:45:00,907.51
2025-01-02 17:00:00,950.252
2025-01-02 17:15:00,950.709
2025-01-02 17:30:00,902.027
2025-01-02 17:45:00,933.399
2025-01-02 18:00:00,1292.2369999999999
2025-01-02 18:15:00,1243.019
2025-01-02 18:30:00,1265.257
2025-01-02 18:45:00,1262.292
2025-01-02 19:00:00,1247.595
2025-01-02 19:15:00,1191.281
2025-01-02 19:30:00,1273.69
2025-01-02 19:45:00,1323.008
2025-01-02 20:00:00,1235.961
2025-01-02 20:15:00,1335.3980000000001
2025-01-02 20:30:00,1227.398
2025-01-02 20:45:00,1333.1490000000001
2025-01-02 21:00:00,1226.446
2025-01-02 21:15:00,1250.312
2025-01-02 21:30:00,1262.894
2025-01-02 21:45:00,1335.573
2025-01-02 22:00:00,1214.591
2025-01-02 22:15:00,1328.393
2025-01-02 22:30:00,1206.122
2025-01-02 22:45:00,1243.143
2025-01-02 23:00:00,605.447
2025-01-02 23:15:00,610.702
2025-01-02 23:30:00,601.525
2025-01-02 23:45:00,591.89
