Customer ID,Customer Type,Label,Timestamp,Measured kW,Stolen kW,True kW
c1,noisy,0,2025-01-01 00:00:00,42.414,0.0,42.414
c1,noisy,0,2025-01-01 00:15:00,50.954,0.0,50.954
c1,noisy,0,2025-01-01 00:30:00,57.093,0.0,57.093
c1,noisy,0,2025-01-01 00:45:00,53.566,0.0,53.566
c1,noisy,0,2025-01-01 01:00:00,54.372,0.0,54.372
c1,noisy,0,2025-01-01 01:15:00,57.253,0.0,57.253
c1,noisy,0,2025-01-01 01:30:00,45.044,0.0,45.044
c1,noisy,0,2025-01-01 01:45:00,53.312,0.0,53.312
c1,noisy,0,2025-01-01 02:00:00,39.895,0.0,39.895
c1,noisy,0,2025-01-01 02:15:00,47.519,0.0,47.519
c1,noisy,0,2025-01-01 02:30:00,50.084,0.0,50.084
c1,noisy,0,2025-01-01 02:45:00,51.186,0.0,51.186
c1,noisy,0,2025-01-01 03:00:00,39.921,0.0,39.921
c1,noisy,0,2025-01-01 03:15:00,47.302,0.0,47.302
c1,noisy,0,2025-01-01 03:30:00,50.66,0.0,50.66
c1,noisy,0,2025-01-01 03:45:00,51.813,0.0,51.813
c1,noisy,0,2025-01-01 04:00:00,55.476,0.0,55.476
c1,noisy,0,2025-01-01 04:15:00,61.295,0.0,61.295
c1,noisy,0,2025-01-01 04:30:00,66.109,0.0,66.109
c1,noisy,0,2025-01-01 04:45:00,45.307,0.0,45.307
c1,noisy,0,2025-01-01 05:00:00,44.338,0.0,44.338
c1,noisy,0,2025-01-01 05:15:00,44.176,0.0,44.176
c1,noisy,0,2025-01-01 05:30:00,44.605,0.0,44.605
c1,noisy,0,2025-01-01 05:45:00,40.463,0.0,40.463
c1,noisy,0,2025-01-01 06:00:00,69.398,0.0,69.398
c1,noisy,0,2025-01-01 06:15:00,64.452,0.0,64.452
c1,noisy,0,2025-01-01 06:30:00,72.968,0.0,72.968
c1,noisy,0,2025-01-01 06:45:00,77.393,0.0,77.393
c1,noisy,0,2025-01-01 07:00:00,61.799,0.0,61.799
c1,noisy,0,2025-01-01 07:15:00,63.433,0.0,63.433
c1,noisy,0,2025-01-01 07:30:00,62.835,0.0,62.835
c1,noisy,0,2025-01-01 07:45:00,64.899,0.0,64.899
c1,noisy,0,2025-01-01 08:00:00,69.12,0.0,69.12
c1,noisy,0,2025-01-01 08:15:00,60.223,0.0,60.223
c1,noisy,0,2025-01-01 08:30:00,72.282,0.0,72.282
c1,noisy,0,2025-01-01 08:45:00,61.735,0.0,61.735
c1,noisy,0,2025-01-01 09:00:00,56.326,0.0,56.326
c1,noisy,0,2025-01-01 09:15:00,63.604,0.0,63.604
c1,noisy,0,2025-01-01 09:30:00,75.16,0.0,75.16
c1,noisy,0,2025-01-01 09:45:00,89.549,0.0,89.549
c1,noisy,0,2025-01-01 10:00:00,64.29,0.0,64.29
c1,noisy,0,2025-01-01 10:15:00,70.469,0.0,70.469
c1,noisy,0,2025-01-01 10:30:00,72.024,0.0,72.024
c1,noisy,0,2025-01-01 10:45:00,63.201,0.0,63.201
c1,noisy,0,2025-01-01 11:00:00,61.732,0.0,61.732
c1,noisy,0,2025-01-01 11:15:00,77.364,0.0,77.364
c1,noisy,0,2025-01-01 11:30:00,70.225,0.0,70.225
c1,noisy,0,2025-01-01 11:45:00,65.284,0.0,65.284
c1,noisy,0,2025-01-01 12:00:00,84.62,0.0,84.62
c1,noisy,0,2025-01-01 12:15:00,79.283,0.0,79.283
c1,noisy,0,2025-01-01 12:30:00,93.635,0.0,93.635
c1,noisy,0,2025-01-01 12:45:00,113.493,0.0,113.493
c1,noisy,0,2025-01-01 13:00:00,86.312,0.0,86.312
c1,noisy,0,2025-01-01 13:15:00,82.701,0.0,82.701
c1,noisy,0,2025-01-01 13:30:00,104.395,0.0,104.395
c1,noisy,0,2025-01-01 13:45:00,76.927,0.0,76.927
c1,noisy,0,2025-01-01 14:00:00,102.239,0.0,102.239
c1,noisy,0,2025-01-01 14:15:00,83.385,0.0,83.385
c1,noisy,0,2025-01-01 14:30:00,105.93,0.0,105.93
c1,noisy,0,2025-01-01 14:45:00,86.529,0.0,86.529
c1,noisy,0,2025-01-01 15:00:00,82.988,0.0,82.988
c1,noisy,0,2025-01-01 15:15:00,92.052,0.0,92.052
c1,noisy,0,2025-01-01 15:30:00,91.273,0.0,91.273
c1,noisy,0,2025-01-01 15:45:00,84.095,0.0,84.095
c1,noisy,0,2025-01-01 16:00:00,82.654,0.0,82.654
c1,noisy,0,2025-01-01 16:15:00,83.408,0.0,83.408
c1,noisy,0,2025-01-01 16:30:00,105.072,0.0,105.072
c1,noisy,0,2025-01-01 16:45:00,82.941,0.0,82.941
c1,noisy,0,2025-01-01 17:00:00,77.377,0.0,77.377
c1,noisy,0,2025-01-01 17:15:00,79.203,0.0,79.203
c1,noisy,0,2025-01-01 17:30:00,81.446,0.0,81.446
c1,noisy,0,2025-01-01 17:45:00,98.228,0.0,98.228
c1,noisy,0,2025-01-01 18:00:00,116.456,0.0,116.456
